method,model,sensitive_attr,accuracy,precision,recall,f1,roc_auc,fpr,fnr,dem_parity_diff,equal_opp_diff,equalized_odds,fpr_gap,fnr_gap
ThresholdOpt,LR,race_group,0.9049,0.6246,0.1471,0.2381,0.8499,0.0099,0.8529,0.0103,0.4,0.4,0.0142,0.4
ThresholdOpt,LR,insurance_group,0.9049,0.6246,0.1471,0.2381,0.8499,0.0099,0.8529,0.0111,0.0347,0.0347,0.0087,0.0347
ThresholdOpt,LR,age_group,0.9049,0.6246,0.1471,0.2381,0.8499,0.0099,0.8529,0.0184,0.1244,0.1244,0.0091,0.1244
ThresholdOpt,RF,gender,0.9099,0.5679,0.4527,0.5038,0.8849,0.0387,0.5473,0.006,0.0427,0.0427,0.0061,0.0427
ThresholdOpt,RF,race_group,0.9099,0.5679,0.4527,0.5038,0.8849,0.0387,0.5473,0.0439,0.1786,0.1786,0.0312,0.1786
ThresholdOpt,RF,insurance_group,0.9099,0.5679,0.4527,0.5038,0.8849,0.0387,0.5473,0.0257,0.0437,0.0437,0.0125,0.0437
ThresholdOpt,RF,age_group,0.9099,0.5679,0.4527,0.5038,0.8849,0.0387,0.5473,0.0549,0.1503,0.1503,0.0235,0.1503
ThresholdOpt,XGB,gender,0.7854,0.2912,0.7843,0.4247,0.8683,0.2145,0.2157,0.0136,0.0208,0.0208,0.0069,0.0208
ThresholdOpt,XGB,race_group,0.7854,0.2912,0.7843,0.4247,0.8683,0.2145,0.2157,0.2157,0.25,0.25,0.226,0.25
ThresholdOpt,XGB,insurance_group,0.7854,0.2912,0.7843,0.4247,0.8683,0.2145,0.2157,0.1491,0.0077,0.1356,0.1356,0.0077
ThresholdOpt,XGB,age_group,0.7854,0.2912,0.7843,0.4247,0.8683,0.2145,0.2157,0.2533,0.1071,0.213,0.213,0.1071
